SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_glsA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gltS	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narB	gtdb_r207_narC	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_nod	gtdb_r207_norB	gtdb_r207_norC	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfB	gtdb_r207_nrfC	gtdb_r207_nrfD	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	gtdb_r207_ureA	gtdb_r207_ureB	gtdb_r207_ureC	gtdb_r207_ureD	gtdb_r207_ureE	gtdb_r207_ureF	gtdb_r207_ureG	gtdb_r207_ureJ	read_pair_count
34_SD7485_H081_pH6	2395	66	83	124	21	1	1282	28	13752	3781	10490	1784	17532	10170	15109	6314	185	25	100	305	244	2102	5563	84	9903	3014	2615	2097	349	178	13035	6614	39	1369	31	2905	4206	206	1301	204	1976	858	1083	1671	1030	294	4749	182	742	16	1	1248	28	705	676	4327	814	478	814	1453	396	37673240
36_SD7487_H085_pH6	5207	226	326	406	65	0	2561	32	29214	7581	24682	3728	41489	20878	34938	13824	525	88	260	565	475	4016	11130	217	20605	6766	6797	4928	900	478	27098	14272	82	2721	79	6386	8744	377	2913	637	4706	1803	2152	3186	2019	562	9977	369	1375	44	0	2489	35	1600	1586	9386	1810	1102	1864	3111	1066	92085633
37_SD7488_H086_pH6	4307	170	249	356	24	1	2161	38	23541	6366	19401	3075	31133	17307	27092	10882	401	67	195	517	361	3360	9605	241	17260	5539	5681	4058	762	444	22450	12747	36	2323	50	5023	8041	418	2702	436	3660	1378	1560	2691	1546	438	7695	251	1114	21	0	2103	41	1437	1353	7607	1575	887	1769	2501	830	63388495
38_SD7489_H087_pH6	2634	86	87	106	32	1	1264	16	13725	3888	11107	1222	20031	11058	17357	6755	267	52	165	269	263	2253	5283	110	9820	3494	3694	2574	505	273	12722	7106	38	1376	23	3460	4268	168	1411	216	2272	815	1183	1232	489	316	5098	228	515	22	0	1240	17	683	666	3853	855	453	882	1349	437	39666256
39_SD7490_H089_pH6	5067	322	329	389	69	1	2547	37	29567	7922	24569	3938	40778	20456	34671	14005	520	58	227	534	453	4068	11490	279	20786	6842	7718	5383	1059	540	27240	13907	101	2790	73	6479	8426	385	3289	593	4505	1693	1975	3455	2420	517	9994	302	1609	46	0	2479	41	1561	1534	8951	1809	1049	1725	2945	982	87698444
40_SD7491_H090_pH6	3086	126	118	204	17	2	1540	30	19934	5287	14470	2564	24485	12941	20651	9470	246	35	119	399	333	2775	7150	132	12740	4090	3468	2865	419	217	16886	8412	20	1647	42	3850	5285	254	1920	300	2690	1053	1443	2223	1569	373	6761	232	1085	15	2	1484	30	1006	1016	6118	1225	569	1041	2038	575	64371003
41_SD7492_H091_pH6	1282	35	42	61	8	1	712	11	7938	2322	6060	991	9527	5847	8325	3688	67	15	34	227	155	1342	3189	42	5816	1659	1490	1216	140	91	7369	3781	8	768	15	1721	2379	137	784	113	1054	431	656	837	569	179	2763	116	421	2	3	689	11	429	409	2510	505	297	507	735	225	19846382
42_SD7493_H092_pH6	2945	67	68	125	45	0	1493	29	16187	4371	13920	1533	22755	13352	19826	7703	237	44	151	340	281	2893	6308	84	11718	4124	4700	3134	715	327	15096	8568	61	1584	42	3875	5264	215	1825	239	2810	1000	1294	1957	558	345	6000	246	675	37	2	1439	30	810	730	4323	882	442	839	1487	479	45822627
43_SD7494_H093_pH6	4182	54	117	184	23	0	2075	28	22900	6222	20035	2625	33054	18530	28564	11339	306	92	167	407	368	3586	8580	133	16322	5779	6268	4227	964	479	21280	12349	40	2236	47	5175	7587	341	2716	472	3884	1286	1567	2630	845	474	8129	355	990	13	0	2028	30	1143	1143	6296	1415	679	1378	2067	699	65489040
44_SD7495_H094_pH6	6130	152	212	289	40	1	2797	40	35023	9020	27919	3504	48630	27111	42201	16933	493	71	271	676	603	5172	12060	167	23835	8220	8286	6102	1158	642	31341	17293	63	3073	62	7521	10231	477	3456	557	5672	1856	2379	4330	1262	637	12537	409	1402	33	0	2730	39	1705	1643	9299	2102	1063	1967	3159	947	93686286
